feature,coefficient,importance,direction,importance_rank
QueueType_CHERRY,0.06226078905605345,0.06226078905605345,Blue-favored,43
SummonerSpell2_P6,0.06172013931066984,0.06172013931066984,Blue-favored,44
SummonerSpell1_P5,0.06083241276791715,0.06083241276791715,Blue-favored,45
BlueKills,0.06075772567238326,0.06075772567238326,Blue-favored,46
SummonerSpell1_P4,0.06015048390956377,0.06015048390956377,Blue-favored,47
deaths_P1,-0.059288398135241706,0.059288398135241706,Red-favored,48
DmgTaken_P1,0.058033318743789794,0.058033318743789794,Blue-favored,49
BlueRiftHeraldKills,0.056271465183099674,0.056271465183099674,Blue-favored,50
SummonerSpell2_P1,0.055186476427565134,0.055186476427565134,Blue-favored,51
RedRiftHeraldKills,-0.05507224995305932,0.05507224995305932,Red-favored,52
PrimaryKeyStone_P3,0.05403393425748748,0.05403393425748748,Blue-favored,53
assists_P7,-0.05402521071848673,0.05402521071848673,Red-favored,54
QueueType_ARAM,-0.05144106785367306,0.05144106785367306,Red-favored,55
SummonerSpell1_P1,0.05128863933101939,0.05128863933101939,Blue-favored,56
MinionsKilled_P8,-0.04856180103116927,0.04856180103116927,Red-favored,57
ChampionFk_P9,-0.04802394972673545,0.04802394972673545,Red-favored,58
Lane_P6_SUPPORT,0.047789976224670384,0.047789976224670384,Blue-favored,59
DmgDealt_P3,0.044719359813615245,0.044719359813615245,Blue-favored,60
deaths_P6,0.044418228069810155,0.044418228069810155,Blue-favored,61
Lane_P2_TOP,-0.04414037503337168,0.04414037503337168,Red-favored,62
DmgTaken_P6,-0.04401256193521771,0.04401256193521771,Red-favored,63
Lane_P1_BOTTOM,-0.042579787173673576,0.042579787173673576,Red-favored,64
SummonerSpell1_P9,0.042379202409943945,0.042379202409943945,Blue-favored,65
assists_P8,0.04217545167054457,0.04217545167054457,Blue-favored,66
kills_P8,0.04083487356813181,0.04083487356813181,Blue-favored,67
RedTowerKills,0.04082239179012334,0.04082239179012334,Blue-favored,68
BlueTowerKills,-0.04048583516555096,0.04048583516555096,Red-favored,69
DmgTaken_P9,-0.040185044799358825,0.040185044799358825,Red-favored,70
DmgDealt_P5,0.04002227938058993,0.04002227938058993,Blue-favored,71
DmgDealt_P6,-0.03926130462621045,0.03926130462621045,Red-favored,72
Lane_P9_SUPPORT,-0.03920508138608471,0.03920508138608471,Red-favored,73
PrimaryKeyStone_P1,0.037494537364469734,0.037494537364469734,Blue-favored,74
assists_P2,0.03714478941007761,0.03714478941007761,Blue-favored,75
PrimaryKeyStone_P2,-0.03664437441785184,0.03664437441785184,Red-favored,76
kills_P9,-0.036202955034744085,0.036202955034744085,Red-favored,77
Lane_P4_JUNGLE,-0.03538007171414269,0.03538007171414269,Red-favored,78
DmgTaken_P4,0.035340583407949586,0.035340583407949586,Blue-favored,79
deaths_P8,0.034553987441420235,0.034553987441420235,Blue-favored,80
PrimaryKeyStone_P4,-0.03434764201947928,0.03434764201947928,Red-favored,81
kills_P10,-0.03228018836408579,0.03228018836408579,Red-favored,82
Lane_P2_MIDDLE,0.03172683719092515,0.03172683719092515,Blue-favored,83
assists_P10,-0.031390644251505034,0.031390644251505034,Red-favored,84
ChampionFk_P4,0.03076026824725394,0.03076026824725394,Blue-favored,85
DmgDealt_P10,-0.030424886597517683,0.030424886597517683,Red-favored,86
Lane_P4_TOP,0.029740407064672868,0.029740407064672868,Blue-favored,87
ChampionFk_P3,-0.028393433373382973,0.028393433373382973,Red-favored,88
