row_index,Model,Actual,Prob_Blue,Pred_0_50
70670,CatBoost,0,0.38552634234704736,0
79716,CatBoost,0,0.19808733160370603,0
88373,CatBoost,1,0.49296928243476396,0
70451,CatBoost,0,0.08357809681584687,0
7430,CatBoost,0,0.0945806051008891,0
5021,CatBoost,0,0.036540367485157654,0
45400,CatBoost,1,0.5638520064636733,1
68931,CatBoost,1,0.7858652729694582,1
44472,CatBoost,1,0.3281676809732639,0
24337,CatBoost,1,0.8130354535205587,1
11789,CatBoost,1,0.8433420873523637,1
476,CatBoost,0,0.1696302976961157,0
30019,CatBoost,1,0.902264414795013,1
47504,CatBoost,0,0.6457071850598782,1
68221,CatBoost,0,0.5572422639393385,1
32915,CatBoost,1,0.7595704032701778,1
66314,CatBoost,1,0.267834205420805,0
90936,CatBoost,1,0.4689279323775089,0
69778,CatBoost,1,0.8723326603100969,1
37409,CatBoost,1,0.5116166207212142,1
81721,CatBoost,0,0.021133240748699753,0
34264,CatBoost,0,0.39007807292670316,0
54691,CatBoost,1,0.9031517904493733,1
22439,CatBoost,1,0.4470984373239227,0
33937,CatBoost,0,0.5871784173221445,1
63472,CatBoost,1,0.8544764133140957,1
67257,CatBoost,0,0.5831667691530867,1
48453,CatBoost,1,0.5808357236122972,1
29924,CatBoost,1,0.7744574374934341,1
80850,CatBoost,0,0.07817442947499732,0
18211,CatBoost,0,0.337909636897773,0
39479,CatBoost,0,0.23760076438572464,0
17618,CatBoost,1,0.28876134153976246,0
77883,CatBoost,1,0.3256103220084506,0
40792,CatBoost,0,0.16010227028617427,0
16607,CatBoost,1,0.817860982052781,1
11574,CatBoost,1,0.63426395567238,1
33855,CatBoost,1,0.9946876901657377,1
33714,CatBoost,0,0.34568066554544835,0
81949,CatBoost,1,0.7016336150390567,1
25226,CatBoost,0,0.8720278257988784,1
6774,CatBoost,0,0.5125167123733501,1
60775,CatBoost,0,0.28604990393364305,0
20834,CatBoost,0,0.38953536205525024,0
835,CatBoost,1,0.8486577169491097,1
5197,CatBoost,0,0.32095636013992157,0
67645,CatBoost,0,0.011292365650689739,0
21799,CatBoost,0,0.08598181212035001,0
59253,CatBoost,0,0.02867615851461954,0
41193,CatBoost,1,0.2616425282323797,0
2837,CatBoost,1,0.5243818110178116,1
39202,CatBoost,1,0.7236002550566456,1
31366,CatBoost,0,0.3627271444852727,0
54648,CatBoost,0,0.24881831822997116,0
52498,CatBoost,1,0.4404263208121444,0
22456,CatBoost,0,0.21745638945168744,0
44853,CatBoost,1,0.2787092255513789,0
69669,CatBoost,1,0.8077291614338736,1
84643,CatBoost,1,0.8499085885531351,1
12444,CatBoost,0,0.37208840665732895,0
72672,CatBoost,0,0.682911571640539,1
20639,CatBoost,1,0.7448131401916569,1
65464,CatBoost,1,0.5098130617291357,1
49238,CatBoost,1,0.5813669740206556,1
54752,CatBoost,1,0.6522123300142081,1
3549,CatBoost,0,0.03733058639683513,0
87755,CatBoost,0,0.17724640784462614,0
85049,CatBoost,0,0.44312509069050865,0
11883,CatBoost,0,0.2650565918854394,0
58594,CatBoost,0,0.7963749730201884,1
51917,CatBoost,1,0.7453406404412398,1
25507,CatBoost,1,0.5930166826695232,1
69953,CatBoost,1,0.8360883588396718,1
38798,CatBoost,1,0.721307645000399,1
45975,CatBoost,1,0.48233865613300764,0
90413,CatBoost,1,0.6048385395184043,1
65373,CatBoost,0,0.5836875116668377,1
47033,CatBoost,1,0.40724307826876666,0
42493,CatBoost,0,0.3030935560626963,0
18235,CatBoost,0,0.0290988434379379,0
38408,CatBoost,0,0.5683966450824297,1
17393,CatBoost,0,0.06108691873451512,0
72610,CatBoost,0,0.33457783630677224,0
82686,CatBoost,1,0.9886072560127445,1
45337,CatBoost,0,0.22921252178807178,0
11659,CatBoost,0,0.31989426787388153,0
78299,CatBoost,0,0.560792337895465,1
14898,CatBoost,1,0.9893911672521277,1
66899,CatBoost,0,0.052674680355830436,0
39674,CatBoost,0,0.09574815235365405,0
66066,CatBoost,1,0.690050589808126,1
30897,CatBoost,0,0.302827530470857,0
22682,CatBoost,0,0.3505508177848847,0
75887,CatBoost,0,0.16604862109814744,0
83530,CatBoost,0,0.03734278221422618,0
24576,CatBoost,0,0.37548100665782624,0
5391,CatBoost,1,0.8874418820401828,1
78779,CatBoost,0,0.47408151159198675,0
49336,CatBoost,0,0.13319147689197333,0
57050,CatBoost,0,0.12177056993556325,0
40666,CatBoost,0,0.3108053150774169,0
31408,CatBoost,1,0.8733800047782274,1
31657,CatBoost,0,0.37109917904639134,0
27730,CatBoost,0,0.23199592614865308,0
32010,CatBoost,1,0.5091532483833511,1
4883,CatBoost,0,0.24941831556906224,0
43691,CatBoost,0,0.07888470435790301,0
16489,CatBoost,0,0.5887531758796255,1
74773,CatBoost,1,0.4078818490290963,0
7433,CatBoost,0,0.11454308723531048,0
79897,CatBoost,1,0.20295539263939444,0
84192,CatBoost,1,0.634389995399076,1
13109,CatBoost,1,0.5298549331382559,1
88450,CatBoost,1,0.6370729980912047,1
73401,CatBoost,1,0.9340704985058186,1
18605,CatBoost,0,0.024363120032309383,0
29471,CatBoost,1,0.10004577953270903,0
90681,CatBoost,0,0.3488220621528615,0
256,CatBoost,0,0.1744130140617157,0
72486,CatBoost,0,0.42474042865449263,0
47502,CatBoost,1,0.7432696907045186,1
38637,CatBoost,1,0.8962396467059217,1
22116,CatBoost,1,0.828255064924412,1
8724,CatBoost,0,0.5012678706680711,1
20709,CatBoost,1,0.7786334097598169,1
50294,CatBoost,1,0.8693999589331769,1
34868,CatBoost,0,0.7549892883550773,1
78949,CatBoost,1,0.6550130763796209,1
50393,CatBoost,1,0.765586393219906,1
73047,CatBoost,0,0.6887160836744946,1
66449,CatBoost,1,0.5850452689900455,1
71041,CatBoost,1,0.30846248521363556,0
34358,CatBoost,1,0.9564626897056638,1
72950,CatBoost,0,0.27869552450834334,0
64614,CatBoost,0,0.49064918237231275,0
47301,CatBoost,1,0.5318327124847,1
72425,CatBoost,1,0.9888645973551182,1
20878,CatBoost,0,0.4661779172474229,0
44023,CatBoost,1,0.575734726833406,1
53139,CatBoost,1,0.35280862175924493,0
29110,CatBoost,0,0.1682999916455848,0
82636,CatBoost,0,0.4334764271075229,0
41200,CatBoost,0,0.34902406786805784,0
59824,CatBoost,1,0.665114835604102,1
44710,CatBoost,0,0.10464192036008171,0
43449,CatBoost,0,0.3497706759924718,0
6,CatBoost,1,0.9472998425940076,1
75019,CatBoost,0,0.1443801733556202,0
81011,CatBoost,0,0.16932352364451214,0
55409,CatBoost,1,0.5688539003547648,1
83251,CatBoost,1,0.6411730214305189,1
50047,CatBoost,1,0.7102921457054346,1
9948,CatBoost,0,0.6710575337491117,1
81908,CatBoost,0,0.16183359765639843,0
25168,CatBoost,0,0.1990491079968992,0
78287,CatBoost,1,0.5756466226352814,1
77865,CatBoost,0,0.373382362186982,0
87620,CatBoost,0,0.08275004585946436,0
47987,CatBoost,1,0.3955359665881694,0
50222,CatBoost,1,0.6994643249963213,1
54084,CatBoost,1,0.42787477782098293,0
83864,CatBoost,1,0.9896607600382704,1
15718,CatBoost,0,0.25143033922242813,0
83355,CatBoost,1,0.5786185872721422,1
31249,CatBoost,0,0.4778525189278852,0
38782,CatBoost,0,0.6432330287524073,1
21361,CatBoost,1,0.5606577919593367,1
59309,CatBoost,1,0.6736432880194547,1
12518,CatBoost,1,0.5236802283106355,1
61729,CatBoost,1,0.6637397461041302,1
37723,CatBoost,1,0.7976068484995998,1
27503,CatBoost,0,0.6658828286696377,1
14808,CatBoost,1,0.8871909230583312,1
2172,CatBoost,0,0.21642702957724194,0
8855,CatBoost,1,0.7872846383767169,1
18098,CatBoost,1,0.9898142961888727,1
30871,CatBoost,0,0.21406430581704733,0
28887,CatBoost,0,0.3320701314439002,0
81738,CatBoost,1,0.8323823131194901,1
15447,CatBoost,1,0.7236338358416277,1
15959,CatBoost,0,0.19510686582662465,0
82967,CatBoost,1,0.3593500690229168,0
36826,CatBoost,0,0.24919623040722602,0
77531,CatBoost,0,0.47396363293006244,0
10801,CatBoost,0,0.23489661890537267,0
30218,CatBoost,0,0.18074762187859306,0
87461,CatBoost,1,0.5705344192901506,1
15282,CatBoost,0,0.30565490427496894,0
74092,CatBoost,0,0.7441607681760694,1
65695,CatBoost,1,0.6200372455465177,1
56237,CatBoost,1,0.9536673530183636,1
22571,CatBoost,0,0.21860454934559528,0
50635,CatBoost,1,0.607698634776625,1
57735,CatBoost,1,0.6821028260421577,1
38242,CatBoost,0,0.29725926024756033,0
35216,CatBoost,1,0.9170927578119782,1
1793,CatBoost,0,0.04943782971901314,0
65151,CatBoost,1,0.6303969767793908,1
17732,CatBoost,0,0.1703140042533339,0
51615,CatBoost,0,0.5487733224271997,1
82555,CatBoost,1,0.6441564580788077,1
77954,CatBoost,1,0.9918108125114989,1
61022,CatBoost,1,0.39853925000127866,0
52604,CatBoost,1,0.987480345786378,1
48754,CatBoost,1,0.4898629546068791,0
45943,CatBoost,1,0.44371582556211114,0
32266,CatBoost,1,0.5794653694945426,1
6772,CatBoost,1,0.27057188598626675,0
41529,CatBoost,1,0.7013091788544614,1
75463,CatBoost,0,0.3478899502217925,0
37972,CatBoost,1,0.4008306917051325,0
82775,CatBoost,0,0.16021326431142205,0
40826,CatBoost,1,0.5778775739778068,1
88950,CatBoost,1,0.7101123867710164,1
1689,CatBoost,1,0.9508887423284836,1
53360,CatBoost,1,0.8595204306141728,1
89505,CatBoost,1,0.769850377088362,1
14843,CatBoost,1,0.9885518991421337,1
40541,CatBoost,0,0.11876609921454347,0
44745,CatBoost,1,0.4194669503117992,0
55184,CatBoost,0,0.16550962418890142,0
89907,CatBoost,1,0.5999872188662442,1
22267,CatBoost,0,0.4907904532735791,0
84659,CatBoost,0,0.40229773422778725,0
58121,CatBoost,1,0.6954766724666592,1
27997,CatBoost,0,0.6341257834898257,1
78240,CatBoost,0,0.03247391382725636,0
44816,CatBoost,0,0.336907074547485,0
9507,CatBoost,1,0.5836709142478743,1
74881,CatBoost,1,0.9920483013067142,1
24855,CatBoost,0,0.3912286046903635,0
51157,CatBoost,1,0.5005277403334583,1
22605,CatBoost,1,0.627764251211799,1
44448,CatBoost,0,0.2741007183916872,0
37965,CatBoost,1,0.6742246738817466,1
58624,CatBoost,1,0.5435433628783827,1
73097,CatBoost,1,0.7813768057197948,1
55990,CatBoost,0,0.4410958711371002,0
68789,CatBoost,1,0.3234064280857917,0
69441,CatBoost,0,0.5111466642998027,1
63713,CatBoost,1,0.7828409273029252,1
89806,CatBoost,1,0.5973515806793611,1
19110,CatBoost,1,0.7365571901556545,1
54174,CatBoost,1,0.3120843312985592,0
63695,CatBoost,0,0.2750799693725929,0
20480,CatBoost,0,0.2477409378023545,0
34812,CatBoost,0,0.3138428810384253,0
54089,CatBoost,0,0.44186500834427017,0
11990,CatBoost,0,0.38671540180632596,0
55049,CatBoost,1,0.8515824239871365,1
40401,CatBoost,1,0.8174511644568346,1
