Model,FPR,TPR,Threshold
CatBoost,0.014152319813247738,0.22710035005834306,0.8299683950244221
CatBoost,0.014298220017508025,0.22710035005834306,0.8298821490503276
CatBoost,0.014298220017508025,0.22914235705950992,0.8287032374063357
CatBoost,0.01444412022176831,0.22914235705950992,0.828666693137162
CatBoost,0.01444412022176831,0.22987164527421236,0.8279659042418263
CatBoost,0.014590020426028597,0.22987164527421236,0.8278789307623986
CatBoost,0.014590020426028597,0.23045507584597433,0.8277320227770911
CatBoost,0.014735920630288883,0.23045507584597433,0.8277243638232857
CatBoost,0.014735920630288883,0.2307467911318553,0.8276786687234778
CatBoost,0.015027721038809455,0.2307467911318553,0.8275626763645753
CatBoost,0.015027721038809455,0.23162193698949826,0.8270465925179771
CatBoost,0.015319521447330026,0.23162193698949826,0.8270095529741892
CatBoost,0.015319521447330026,0.23337222870478413,0.8257785733861975
CatBoost,0.015465421651590313,0.23337222870478413,0.8257717993474692
CatBoost,0.015465421651590313,0.23599766627771296,0.8243813057678011
CatBoost,0.015611321855850598,0.23599766627771296,0.8241328379920747
CatBoost,0.015611321855850598,0.23658109684947493,0.8239740509939637
CatBoost,0.015757222060110883,0.23658109684947493,0.8239152895198624
CatBoost,0.015757222060110883,0.23847724620770128,0.823026568951756
CatBoost,0.01590312226437117,0.23847724620770128,0.8229791048095002
CatBoost,0.01590312226437117,0.23876896149358226,0.8228450227315479
CatBoost,0.016049022468631456,0.23876896149358226,0.8228071708728291
CatBoost,0.016049022468631456,0.24066511085180864,0.821856963368969
CatBoost,0.016194922672891743,0.24066511085180864,0.8218518268668672
CatBoost,0.016194922672891743,0.24285297549591597,0.8204678177055813
CatBoost,0.016486723081412313,0.24285297549591597,0.8203668407459181
CatBoost,0.016486723081412313,0.24489498249708286,0.8194694573802663
CatBoost,0.0166326232856726,0.24489498249708286,0.8192145562900924
CatBoost,0.0166326232856726,0.24518669778296381,0.8190221480861635
CatBoost,0.016778523489932886,0.24518669778296381,0.8186836559994877
CatBoost,0.016778523489932886,0.2459159859976663,0.8182120156652798
CatBoost,0.016924423694193173,0.2459159859976663,0.8182013041417214
