Model,Threshold,Accuracy,F1,Precision,Recall
CatBoost,0.26999999999999996,0.6491611962071481,0.7272624177818099,0.5948979591836735,0.9353850641773629
CatBoost,0.27999999999999997,0.6522246535375639,0.7272935255090368,0.5982310876928867,0.927362893815636
CatBoost,0.29,0.6555798687089716,0.7275874004845967,0.6018324107654133,0.9197782963827305
CatBoost,0.3,0.661560904449307,0.7299499476196019,0.6073019562269998,0.9146732788798133
CatBoost,0.30999999999999994,0.6652078774617067,0.7306338028169014,0.6112529457973291,0.9079638273045507
CatBoost,0.31999999999999995,0.6706053975200583,0.7324961497452909,0.6166965888689407,0.9018378063010501
CatBoost,0.32999999999999996,0.675419401896426,0.7336923997606224,0.6220824030850416,0.8941073512252042
CatBoost,0.33999999999999997,0.6800145878920496,0.734908453683002,0.6273599504797276,0.8869603267211202
CatBoost,0.3499999999999999,0.6827133479212254,0.7344970703125,0.6315071368597817,0.8776254375729288
CatBoost,0.35999999999999993,0.6854850474106492,0.7335969356233782,0.6363344051446945,0.8659568261376897
CatBoost,0.36999999999999994,0.6894967177242889,0.734053851439995,0.6420063381051251,0.8569136522753792
CatBoost,0.37999999999999995,0.6927789934354486,0.7335863377609109,0.647643511279875,0.845828471411902
CatBoost,0.38999999999999996,0.6963530269876003,0.7338065093676066,0.6533075259023113,0.8369311551925321
CatBoost,0.3999999999999999,0.700218818380744,0.7341526520051747,0.6595769409576941,0.8277421236872812
CatBoost,0.4099999999999999,0.7046681254558717,0.7343350173873106,0.6673822301729279,0.8162193698949824
CatBoost,0.41999999999999993,0.7069292487235594,0.7331650949661309,0.6730065837600585,0.8051341890315052
CatBoost,0.42999999999999994,0.7088256746900073,0.7315400134498992,0.6786872972298478,0.7933197199533255
CatBoost,0.43999999999999995,0.7109409190371991,0.7303164341612793,0.6845260875111622,0.7826721120186698
CatBoost,0.4499999999999999,0.711670313639679,0.7275484182231718,0.6896641839801385,0.7698366394399067
CatBoost,0.4599999999999999,0.7143690736688548,0.7263834544438234,0.697156652360515,0.7581680280046674
CatBoost,0.4699999999999999,0.7146608315098468,0.7232206028017546,0.7022533663094257,0.7454784130688448
CatBoost,0.4799999999999999,0.7156090444930707,0.7206019347903977,0.7082687702493309,0.7333722287047841
CatBoost,0.48999999999999994,0.7175784099197666,0.7192168237853517,0.7151716181136429,0.7233080513418904
CatBoost,0.49999999999999994,0.7164113785557987,0.7142017053807703,0.7199170124481328,0.7085764294049008
CatBoost,0.5099999999999999,0.7156819839533187,0.7093214019388516,0.7256637168141593,0.6936989498249708
CatBoost,0.5199999999999999,0.7145878920495988,0.7042998564195572,0.730751136898228,0.6796966161026837
CatBoost,0.5299999999999999,0.7129832239241429,0.6980277799094468,0.7365182186234818,0.6633605600933489
CatBoost,0.5399999999999999,0.712326768781911,0.6928827285469553,0.7432342131640495,0.6489206534422404
CatBoost,0.5499999999999999,0.7110138584974471,0.687292817679558,0.7488820089439284,0.6350641773628938
CatBoost,0.5599999999999999,0.7099927060539752,0.6816143497757847,0.7556818181818182,0.6207701283547258
CatBoost,0.57,0.7080233406272793,0.6745793024957321,0.7619834710743801,0.6051633605600933
CatBoost,0.58,0.7053245805981035,0.6663363065741659,0.7680883472962681,0.588389731621937
CatBoost,0.59,0.7051057622173595,0.6612484289903645,0.7769245914550108,0.5755542590431738
CatBoost,0.6,0.7045222465353757,0.6559660297239915,0.7851189266110998,0.5633022170361727
CatBoost,0.61,0.7016776075857039,0.6480206540447504,0.7903022670025189,0.5491540256709452
CatBoost,0.62,0.6981765134938002,0.6387288283569059,0.7955632883862549,0.5335472578763127
CatBoost,0.63,0.6973012399708242,0.6329382628692729,0.8040449438202247,0.5218786464410735
CatBoost,0.6399999999999999,0.6956236323851204,0.6255048012204971,0.8129227898297178,0.5083138856476079
CatBoost,0.6499999999999999,0.6930707512764406,0.6169670489714182,0.8205811138014528,0.4943115519253209
CatBoost,0.6599999999999999,0.6892778993435449,0.606575544883635,0.8267875125881168,0.4789964994165694
CatBoost,0.6699999999999999,0.6846097738876732,0.594523630907727,0.8324579831932774,0.46236872812135354
CatBoost,0.6799999999999999,0.6820568927789934,0.5856857713145138,0.8406548431105048,0.44938739789964993
