feature,coefficient,importance,direction,feature_group,rank
BlueChamp_517,0.008405644340155427,0.008405644340155427,Blue-favored,champion_composition,669
PrimaryKeyStone_P5_8369,-0.008377846005944666,0.008377846005944666,Red-favored,setup_runes_spells,670
SummonerSpell2_P7_32,0.008369584609213098,0.008369584609213098,Blue-favored,setup_runes_spells,671
SummonerSpell2_P4_1,-0.008329318316047949,0.008329318316047949,Red-favored,setup_runes_spells,672
BlueChamp_893,-0.008276623091431654,0.008276623091431654,Red-favored,champion_composition,673
SummonerSpell1_P9_21,0.008235371734986209,0.008235371734986209,Blue-favored,setup_runes_spells,674
BlueChamp_83,-0.008221119487143097,0.008221119487143097,Red-favored,champion_composition,675
RedChamp_78,-0.008186993968094488,0.008186993968094488,Red-favored,champion_composition,676
QueueType_SWIFTPLAY,-0.008185166941017764,0.008185166941017764,Red-favored,queue_type,677
BlueChamp_106,-0.00817787614206961,0.00817787614206961,Red-favored,champion_composition,678
RedChamp_240,-0.00814592253245281,0.00814592253245281,Red-favored,champion_composition,679
PrimaryKeyStone_P10_8010,-0.00802960790373106,0.00802960790373106,Red-favored,setup_runes_spells,680
BlueChamp_222,-0.00802437164442117,0.00802437164442117,Red-favored,champion_composition,681
SummonerSpell2_P1_21,-0.007973047782881715,0.007973047782881715,Red-favored,setup_runes_spells,682
BlueChamp_240,-0.007960026404240973,0.007960026404240973,Red-favored,champion_composition,683
BlueChamp_62,0.00794428890053926,0.00794428890053926,Blue-favored,champion_composition,684
PrimaryKeyStone_P2_8229,-0.007933821778348794,0.007933821778348794,Red-favored,setup_runes_spells,685
PrimaryKeyStone_P1_8229,0.007921477461735363,0.007921477461735363,Blue-favored,setup_runes_spells,686
SummonerSpell1_P5_11,-0.007875186028349,0.007875186028349,Red-favored,setup_runes_spells,687
PrimaryKeyStone_P8_9923,0.007873101753657092,0.007873101753657092,Blue-favored,setup_runes_spells,688
SummonerSpell2_P5_1,0.007775479832789451,0.007775479832789451,Blue-favored,setup_runes_spells,689
Lane_P8_TOP,-0.007706542695581156,0.007706542695581156,Red-favored,lane_position,690
SummonerSpell2_P5_21,0.007653179805018817,0.007653179805018817,Blue-favored,setup_runes_spells,691
PrimaryKeyStone_P10_8465,0.007591221275540684,0.007591221275540684,Blue-favored,setup_runes_spells,692
SummonerSpell2_P9_12,0.00757770522218582,0.00757770522218582,Blue-favored,setup_runes_spells,693
SummonerSpell2_P8_21,0.0075085333042444295,0.0075085333042444295,Blue-favored,setup_runes_spells,694
RedChamp_221,0.007507278611683685,0.007507278611683685,Blue-favored,champion_composition,695
SummonerSpell1_P3_3,-0.007495748876131113,0.007495748876131113,Red-favored,setup_runes_spells,696
BlueChamp_58,0.0074343059647530955,0.0074343059647530955,Blue-favored,champion_composition,697
RedChamp_4,-0.007390384607460862,0.007390384607460862,Red-favored,champion_composition,698
PrimaryKeyStone_P6_8112,0.0073826648840536165,0.0073826648840536165,Blue-favored,setup_runes_spells,699
SummonerSpell2_P4_32,0.007373367055657297,0.007373367055657297,Blue-favored,setup_runes_spells,700
BlueChamp_72,-0.007357618036854483,0.007357618036854483,Red-favored,champion_composition,701
RedChamp_23,-0.007357228312687173,0.007357228312687173,Red-favored,champion_composition,702
SummonerSpell2_P7_3,0.007300689086964462,0.007300689086964462,Blue-favored,setup_runes_spells,703
SummonerSpell2_P4_4,0.007287080182992281,0.007287080182992281,Blue-favored,setup_runes_spells,704
PrimaryKeyStone_P3_8230,-0.0072412493139559185,0.0072412493139559185,Red-favored,setup_runes_spells,705
RedChamp_163,0.007238706765253885,0.007238706765253885,Blue-favored,champion_composition,706
SummonerSpell1_P6_13,0.007208981419594448,0.007208981419594448,Blue-favored,setup_runes_spells,707
SummonerSpell1_P1_14,0.007196721765140335,0.007196721765140335,Blue-favored,setup_runes_spells,708
SummonerSpell1_P9_14,0.0070581777146562176,0.0070581777146562176,Blue-favored,setup_runes_spells,709
SummonerSpell1_P6_21,0.007003658360251042,0.007003658360251042,Blue-favored,setup_runes_spells,710
PrimaryKeyStone_P2_8351,-0.006982774379115427,0.006982774379115427,Red-favored,setup_runes_spells,711
BlueChamp_32,0.0069757690817440375,0.0069757690817440375,Blue-favored,champion_composition,712
PrimaryKeyStone_P3_8437,0.006973265768215679,0.006973265768215679,Blue-favored,setup_runes_spells,713
SummonerSpell1_P8_21,0.006909276192550074,0.006909276192550074,Blue-favored,setup_runes_spells,714
SummonerSpell2_P5_13,-0.006905005493202685,0.006905005493202685,Red-favored,setup_runes_spells,715
Lane_P9_TOP,-0.0069009642368354695,0.0069009642368354695,Red-favored,lane_position,716
PrimaryKeyStone_P5_8008,0.006879844834579649,0.006879844834579649,Blue-favored,setup_runes_spells,717
PrimaryKeyStone_P4_8465,0.006857111497264162,0.006857111497264162,Blue-favored,setup_runes_spells,718
BlueChamp_90,0.006836985366077787,0.006836985366077787,Blue-favored,champion_composition,719
Lane_P10_MIDDLE,-0.006817878250466754,0.006817878250466754,Red-favored,lane_position,720
PrimaryKeyStone_P5_8010,0.006770159265460937,0.006770159265460937,Blue-favored,setup_runes_spells,721
BlueChamp_113,-0.006759083759517174,0.006759083759517174,Red-favored,champion_composition,722
Red_assists_avg,0.006759060058994246,0.006759060058994246,Blue-favored,team_aggregate,723
Red_assists_sum,0.0067590600589941575,0.0067590600589941575,Blue-favored,team_aggregate,724
RedChamp_19,0.006749893237246081,0.006749893237246081,Blue-favored,champion_composition,725
SummonerSpell1_P7_13,0.006738962676869014,0.006738962676869014,Blue-favored,setup_runes_spells,726
SummonerSpell2_P3_12,-0.0067193484973221956,0.0067193484973221956,Red-favored,setup_runes_spells,727
PrimaryKeyStone_P6_9923,0.006668010431012218,0.006668010431012218,Blue-favored,setup_runes_spells,728
PrimaryKeyStone_P7_8112,0.006648607001395955,0.006648607001395955,Blue-favored,setup_runes_spells,729
SummonerSpell1_P5_13,-0.0066207448121410415,0.0066207448121410415,Red-favored,setup_runes_spells,730
SummonerSpell2_P3_6,0.00654617145222904,0.00654617145222904,Blue-favored,setup_runes_spells,731
PrimaryKeyStone_P9_8437,0.006519865277190243,0.006519865277190243,Blue-favored,setup_runes_spells,732
RedChamp_115,-0.006450439023135635,0.006450439023135635,Red-favored,champion_composition,733
BlueChamp_114,0.006373645598240106,0.006373645598240106,Blue-favored,champion_composition,734
PrimaryKeyStone_P8_8360,-0.006343268440230445,0.006343268440230445,Red-favored,setup_runes_spells,735
BlueChamp_910,0.0062868585068118436,0.0062868585068118436,Blue-favored,champion_composition,736
SummonerSpell2_P1_1,-0.006280416005236046,0.006280416005236046,Red-favored,setup_runes_spells,737
Lane_P7_SUPPORT,0.006265318966732022,0.006265318966732022,Blue-favored,lane_position,738
RedChamp_105,-0.006251237682643355,0.006251237682643355,Red-favored,champion_composition,739
SummonerSpell1_P9_11,0.006230751738538719,0.006230751738538719,Blue-favored,setup_runes_spells,740
SummonerSpell2_P4_3,0.006174115594216862,0.006174115594216862,Blue-favored,setup_runes_spells,741
Lane_P7_TOP,-0.006145342969235329,0.006145342969235329,Red-favored,lane_position,742
BlueChamp_8,0.006142514370562433,0.006142514370562433,Blue-favored,champion_composition,743
assists_P4,0.0061160456552345754,0.0061160456552345754,Blue-favored,player_level_stats,744
RedChamp_29,0.006057747417121103,0.006057747417121103,Blue-favored,champion_composition,745
SummonerSpell1_P9_32,-0.006027514095613285,0.006027514095613285,Red-favored,setup_runes_spells,746
Lane_P6_TOP,-0.006026925140085085,0.006026925140085085,Red-favored,lane_position,747
BlueChamp_6,-0.005884165917318538,0.005884165917318538,Red-favored,champion_composition,748
BlueChamp_950,-0.005880550089549006,0.005880550089549006,Red-favored,champion_composition,749
RedChamp_48,0.00580376901702354,0.00580376901702354,Blue-favored,champion_composition,750
RedChamp_16,-0.005738241128843891,0.005738241128843891,Red-favored,champion_composition,751
kills_P10,0.0057145305137936584,0.0057145305137936584,Blue-favored,player_level_stats,752
SummonerSpell1_P5_21,0.005697911991235375,0.005697911991235375,Blue-favored,setup_runes_spells,753
SummonerSpell2_P8_12,-0.005671943724646571,0.005671943724646571,Red-favored,setup_runes_spells,754
RedChamp_203,-0.005658108041253799,0.005658108041253799,Red-favored,champion_composition,755
BlueChamp_101,-0.005603917374323662,0.005603917374323662,Red-favored,champion_composition,756
SummonerSpell2_P4_6,0.005544535514868088,0.005544535514868088,Blue-favored,setup_runes_spells,757
kills_P9,-0.005515231665142339,0.005515231665142339,Red-favored,player_level_stats,758
BlueChamp_19,-0.005503628896763713,0.005503628896763713,Red-favored,champion_composition,759
PrimaryKeyStone_P3_8229,-0.005454291533442606,0.005454291533442606,Red-favored,setup_runes_spells,760
BlueChamp_77,-0.005408488942613833,0.005408488942613833,Red-favored,champion_composition,761
PrimaryKeyStone_P2_8005,0.005388651357895295,0.005388651357895295,Blue-favored,setup_runes_spells,762
SummonerSpell1_P1_12,0.00538287999282608,0.00538287999282608,Blue-favored,setup_runes_spells,763
RedChamp_517,-0.005311742360007867,0.005311742360007867,Red-favored,champion_composition,764
BlueChamp_102,-0.005254585208522622,0.005254585208522622,Red-favored,champion_composition,765
SummonerSpell1_P6_1,-0.00525166457319879,0.00525166457319879,Red-favored,setup_runes_spells,766
SummonerSpell2_P6_32,0.00517949831819114,0.00517949831819114,Blue-favored,setup_runes_spells,767
SummonerSpell1_P4_11,-0.00511334971157294,0.00511334971157294,Red-favored,setup_runes_spells,768
SummonerSpell2_P6_7,0.005056602955762964,0.005056602955762964,Blue-favored,setup_runes_spells,769
BlueChamp_99,-0.005050713724272416,0.005050713724272416,Red-favored,champion_composition,770
Lane_P9_BOTTOM,0.0050239977560741405,0.0050239977560741405,Blue-favored,lane_position,771
RedChamp_876,0.004981566224737628,0.004981566224737628,Blue-favored,champion_composition,772
SummonerSpell2_P3_32,-0.004955480706307423,0.004955480706307423,Red-favored,setup_runes_spells,773
PrimaryKeyStone_P5_8128,0.004937665002437104,0.004937665002437104,Blue-favored,setup_runes_spells,774
SummonerSpell1_P2_13,-0.004936722429854876,0.004936722429854876,Red-favored,setup_runes_spells,775
PrimaryKeyStone_P5_8230,-0.004907020754473464,0.004907020754473464,Red-favored,setup_runes_spells,776
SummonerSpell1_P7_4,0.004857955017892476,0.004857955017892476,Blue-favored,setup_runes_spells,777
SummonerSpell2_P2_4,-0.004835362227117037,0.004835362227117037,Red-favored,setup_runes_spells,778
RedChamp_8,0.0048091425966787366,0.0048091425966787366,Blue-favored,champion_composition,779
RedChamp_427,-0.004804366382067713,0.004804366382067713,Red-favored,champion_composition,780
PrimaryKeyStone_P3_8439,0.004689832005713864,0.004689832005713864,Blue-favored,setup_runes_spells,781
PrimaryKeyStone_P3_8021,-0.004647419727464718,0.004647419727464718,Red-favored,setup_runes_spells,782
RedChamp_111,0.004644056658346889,0.004644056658346889,Blue-favored,champion_composition,783
assists_P6,-0.004640729150939549,0.004640729150939549,Red-favored,player_level_stats,784
PrimaryKeyStone_P9_8005,0.00463101697454158,0.00463101697454158,Blue-favored,setup_runes_spells,785
Red_deaths_avg,0.0046250652635877595,0.0046250652635877595,Blue-favored,team_aggregate,786
Red_deaths_sum,0.004625065263587445,0.004625065263587445,Blue-favored,team_aggregate,787
Blue_kills_sum,0.00460491059420608,0.00460491059420608,Blue-favored,team_aggregate,788
Blue_kills_avg,0.0046049105942045565,0.0046049105942045565,Blue-favored,team_aggregate,789
BlueChamp_2,-0.004567482648115181,0.004567482648115181,Red-favored,champion_composition,790
BlueChamp_103,0.00456637092273992,0.00456637092273992,Blue-favored,champion_composition,791
Blue_deaths_avg,0.004549385695735603,0.004549385695735603,Blue-favored,team_aggregate,792
Blue_deaths_sum,0.004549385695735463,0.004549385695735463,Blue-favored,team_aggregate,793
BlueChamp_161,-0.0045183326021293845,0.0045183326021293845,Red-favored,champion_composition,794
SummonerSpell1_P4_4,0.004511402954781115,0.004511402954781115,Blue-favored,setup_runes_spells,795
RedChamp_113,0.004510742687996271,0.004510742687996271,Blue-favored,champion_composition,796
BlueChamp_163,-0.004481065652108391,0.004481065652108391,Red-favored,champion_composition,797
PrimaryKeyStone_P1_8005,-0.004468204600453753,0.004468204600453753,Red-favored,setup_runes_spells,798
RedChamp_101,-0.004448593239824053,0.004448593239824053,Red-favored,champion_composition,799
SummonerSpell1_P3_6,0.004376210513356467,0.004376210513356467,Blue-favored,setup_runes_spells,800
PrimaryKeyStone_P7_8369,-0.004372992715713811,0.004372992715713811,Red-favored,setup_runes_spells,801
SummonerSpell1_P5_6,0.004359659218989793,0.004359659218989793,Blue-favored,setup_runes_spells,802
PrimaryKeyStone_P2_8230,-0.004321222876298588,0.004321222876298588,Red-favored,setup_runes_spells,803
SummonerSpell2_P8_6,-0.004295950810890153,0.004295950810890153,Red-favored,setup_runes_spells,804
Lane_P4_SUPPORT,0.004285858536783739,0.004285858536783739,Blue-favored,lane_position,805
SummonerSpell2_P2_6,-0.004260632231939122,0.004260632231939122,Red-favored,setup_runes_spells,806
PrimaryKeyStone_P6_8351,-0.004229012323061456,0.004229012323061456,Red-favored,setup_runes_spells,807
SummonerSpell1_P8_14,0.004226342596459891,0.004226342596459891,Blue-favored,setup_runes_spells,808
SummonerSpell1_P6_32,-0.004207436517234587,0.004207436517234587,Red-favored,setup_runes_spells,809
SummonerSpell2_P7_4,0.004161164508100346,0.004161164508100346,Blue-favored,setup_runes_spells,810
PrimaryKeyStone_P6_8360,-0.004114597753499575,0.004114597753499575,Red-favored,setup_runes_spells,811
PrimaryKeyStone_P10_8128,0.004080454968378724,0.004080454968378724,Blue-favored,setup_runes_spells,812
RedChamp_44,-0.004041878469224635,0.004041878469224635,Red-favored,champion_composition,813
Lane_P1_TOP,0.003998249096005592,0.003998249096005592,Blue-favored,lane_position,814
BlueChamp_85,-0.0039608454398383595,0.0039608454398383595,Red-favored,champion_composition,815
deaths_P2,0.003907962218928689,0.003907962218928689,Blue-favored,player_level_stats,816
RedChamp_2,0.003893689888600004,0.003893689888600004,Blue-favored,champion_composition,817
BlueChamp_105,-0.0038802174323077305,0.0038802174323077305,Red-favored,champion_composition,818
Lane_P10_JUNGLE,0.0038793585439442207,0.0038793585439442207,Blue-favored,lane_position,819
Lane_P4_MIDDLE,0.003831860065219805,0.003831860065219805,Blue-favored,lane_position,820
Blue_assists_sum,0.0038194482424033656,0.0038194482424033656,Blue-favored,team_aggregate,821
Blue_assists_avg,0.0038194482424033023,0.0038194482424033023,Blue-favored,team_aggregate,822
PrimaryKeyStone_P7_8360,-0.0038170697726320137,0.0038170697726320137,Red-favored,setup_runes_spells,823
Diff_assists,-0.0037486464477593947,0.0037486464477593947,Red-favored,aggregate_difference,824
SummonerSpell1_P6_11,-0.003740214801460018,0.003740214801460018,Red-favored,setup_runes_spells,825
BlueChamp_59,-0.0037066371343313833,0.0037066371343313833,Red-favored,champion_composition,826
PrimaryKeyStone_P10_8005,0.003593708109804956,0.003593708109804956,Blue-favored,setup_runes_spells,827
PrimaryKeyStone_P8_8214,-0.0035770675877689053,0.0035770675877689053,Red-favored,setup_runes_spells,828
RedChamp_30,-0.0035379346978236196,0.0035379346978236196,Red-favored,champion_composition,829
RedChamp_56,0.0035348870903628917,0.0035348870903628917,Blue-favored,champion_composition,830
RedChamp_106,-0.003529354735656468,0.003529354735656468,Red-favored,champion_composition,831
PrimaryKeyStone_P10_8008,-0.00351407132104116,0.00351407132104116,Red-favored,setup_runes_spells,832
RedChamp_58,-0.003496120059932129,0.003496120059932129,Red-favored,champion_composition,833
deaths_P9,0.0034454730663063204,0.0034454730663063204,Blue-favored,player_level_stats,834
SummonerSpell2_P3_11,0.0033833590215419916,0.0033833590215419916,Blue-favored,setup_runes_spells,835
SummonerSpell1_P1_1,0.0033536882827049914,0.0033536882827049914,Blue-favored,setup_runes_spells,836
BlueChamp_13,-0.003345608656136841,0.003345608656136841,Red-favored,champion_composition,837
PrimaryKeyStone_P4_8351,0.0033381753903537056,0.0033381753903537056,Blue-favored,setup_runes_spells,838
