row_index,explanation_type,feature,contribution_to_blue_logit,abs_contribution,raw_value,pushes_prediction_toward,tree_global_importance,z_vs_train
38865,linear_top_contribution,Diff_DmgDealt,-0.172715554426512,0.172715554426512,-4055,Red,,
38865,linear_top_contribution,MinionsKilled_P9,0.16986194532981283,0.16986194532981283,40,Blue,,
38865,linear_top_contribution,SummonerSpell2_P9_14,0.15776527484153985,0.15776527484153985,True,Blue,,
38865,tree_important_feature_value,Diff_kills,,0.046136515751476016,-7.0,,0.03184261815221156,-1.4488920330274948
38865,tree_important_feature_value,Diff_TotalGold,,0.040439119625591866,-1443.0,,0.06587563605845399,-0.6138706515062515
38865,tree_important_feature_value,Diff_deaths,,0.039468099353092145,7.0,,0.02698316502916251,1.4626934724090497
38865,tree_important_feature_value,Diff_Kills,,0.027697171915732472,-7.0,,0.02274828136650822,-1.2175500851906287
38865,tree_important_feature_value,Blue_KDA,,0.018794937874371795,0.9230769230769231,,0.029009646567652352,-0.6478857931116395
38865,tree_important_feature_value,Diff_DmgDealt,,0.01717267563662313,-4055.0,,0.021585852383133448,-0.7955523521527164
38865,tree_important_feature_value,Diff_DragonKills,,0.017072923668701084,1.0,,0.014490790213985822,1.1781913488902152
38865,tree_important_feature_value,Diff_KDA,,0.016555774440469722,-2.0769230769230766,,0.03060862212535565,-0.5408859756138845
2088,linear_top_contribution,SummonerSpell1_P7_21,1.572130284915857,1.572130284915857,True,Blue,,
2088,linear_top_contribution,SummonerSpell1_P10_1,0.8466818477519901,0.8466818477519901,True,Blue,,
2088,linear_top_contribution,Diff_DmgDealt,-0.8384494439490976,0.8384494439490976,-19774,Red,,
2088,linear_top_contribution,DmgTaken_P1,0.6683755465137692,0.6683755465137692,23312,Blue,,
2088,linear_top_contribution,MinionsKilled_P7,0.543774579379952,0.543774579379952,5,Blue,,
2088,linear_top_contribution,MinionsKilled_P2,-0.5063626788818069,0.5063626788818069,8,Red,,
2088,linear_top_contribution,Red_DmgDealt_sum,-0.4625419455975577,0.4625419455975577,67679,Red,,
2088,linear_top_contribution,Red_DmgDealt_avg,-0.46254194559755624,0.46254194559755624,13535.8,Red,,
2088,tree_important_feature_value,Diff_DmgDealt,,0.08336493135464068,-19774.0,,0.021585852383133448,-3.862017115422303
2088,tree_important_feature_value,Blue_TotalGold_avg,,0.07754194292668386,7696.2,,0.021827003850003922,3.5525692605157952
2088,tree_important_feature_value,Blue_TotalGold_sum,,0.07292235318917036,38481.0,,0.020526652076751577,3.5525692605157952
2088,tree_important_feature_value,Red_TotalGold_avg,,0.05615557824918149,7364.6,,0.01705442489298004,3.292727758430383
2088,tree_important_feature_value,Red_DmgDealt_sum,,0.052708748559676784,67679.0,,0.008586192877229448,6.138779935803701
2088,tree_important_feature_value,Red_TotalGold_sum,,0.05157109832180786,36823.0,,0.015662120316436788,3.2927277584303827
